wallet_address,trade_volume_usd,trade_count,sol_balance,avg_trade_size_usd,unique_tokens_traded,distinct_transactions
GBJgmT1We2d5dz8hRk1mgGqeAAzq4QMGaDsBcgohbo7f,12885.18,12,,1073.76,2,12
EATeDfHwKJFKKF49rEzBKLJRPqtZ1dS9Y94vfsXEzCiY,4597.44,9,,510.83,2,9
Ey7JMkYcrnqeEFWdwYG6krXjQDD1FDQPMTjMnKJmuSwd,6220.44,11,,565.49,2,11
E7BAZb5maVFMymkWNSaYJrK7GrasBFw5FMzbLH4pnPhr,14462.6,6,,2410.43,2,6
Bs78af3SoedokQfmBDB6g8S2vDKkJgQKdeXawRajuzeB,13359.35,6,,2226.56,2,6
AdRv8fJiXeXcKeRgzCc42BNA3GzZBx5mKUcattM8kSaR,7377.98,12,,614.83,2,12
t3nYzKXkheDHeV5nGtWX1DhADk8W6eMibGqh73z75iN,17897.49,27,,662.87,2,27
3XT4k2FsD2ndskddUVtBsnjEdbF4bCHgXJ1w2CmNbMoJ,44335.07,28,,1583.4,4,28
1p83cLe7aNx724YbTiQDdH5yod9uvtu7CrCFBjbbT5N,10489.24,11,,953.57,2,11
2XMeDrSTYJg36yGdfLYsE8UzPrP2hsn48bkTBGY4Xjqv,24873.51,34,,731.57,3,34
J8Jga2zsvq4pahE9DfmV2jLd9XSVEDfU6mrxS8WamTbh,11119.39,18,,617.74,2,18
CXUpZQAGJxqPwcVL2d4zHnetiLqAJMBV8uxJMnNpyP9x,13333.21,12,,1111.1,2,12
4gkCwV6QitbmTcLoFCXZh2UBxxQqgCdd8gr7kEmZd8Qe,13230.4,24,,551.27,2,24
AqjgMMjb7pV9pQTZ5uuLToBtJwACAHc7qWuVCsnvJr6A,9962.7,12,,830.23,2,12
JB6vEMEScfATFV2tRHraheczDj8YKzbqpU4zjYgiHNSh,4712.29,6,,785.38,2,6
64mMDzdR9fkjqm5pWKgvrDyEBvQtMDdo2ECvYHTePoMu,9304.8,8,,1163.1,2,8
2WN4rnEmB9c9ouC7VTb4CBXbyiY7qTMcvWUxKKQ2D47T,17250.14,28,,616.08,2,28
6YdQDL8wj8zkdngtTueyP15KWZPMPLTA14V77oKKnSVL,9167.65,10,,916.76,2,10
2eufL4JSHCwMRUnwkvBnhWyQ41RZxw3WfcpnQGznQPZM,6530.58,12,,544.21,2,12
5NTeaP5cLppNDnp7ekP6AZXhyPqKbJ3xrfxW3A3ySBq6,25253.43,12,,2104.45,2,12
HmuAECsYdhZmhEAWFFPQWXktQCsZokaM9PuMLfBtiDZg,5182.7,10,,518.27,2,10
cofhqoj3wBej2bPLhcU7WBYMUxJZWSZAhU1p3CK3Wf9,12545.37,17,,737.96,2,17
5Z4fZ2RMmCf3WzoEsBmehtrYnuq7Hfiwbvi7mPfaMFe7,11115.12,16,,694.69,2,16
8aFbhNMWzK8dJLykeip6CLFHHjT2Ne5JdufqeXvQH6hA,29563.46,45,,656.97,2,45
H26SCuS3CEJZTt9XifQ6bkDsjgDHPyX7mwYcm8G6F8dY,27535.75,36,,764.88,2,36
EuXFqUWbpMCKUALeSJNth8mUfDY8wJbZ8Dze62HwVaTy,18849.55,10,,1884.95,2,10
DtNonsLeSnvnrK9LH6pXj4BtEhN7XjDS9xihLhYxAaA5,11882.21,17,,698.95,2,17
EATARLsAcfDDPSvXhmsujkwnehNNByxcWmYrwYtSQT9G,7558.02,12,,629.83,2,12
6BBoLkkfAaV5RuDzTxgYrvA7gEyG11iEHJxPhSCx6fri,10108.59,20,,505.43,2,20
Ca1qfsxmu6MyrCUJkcx1bSisuGM1EC9hLRhGGVNFqGKC,8513.29,8,,1064.16,2,8
92g6vP4p2Qeag2B3pyMehywTXEoBm3GuwyHJMs3d2yb1,9661.49,15,,644.1,3,15
EATU7SB2NNTcSJ2AECDV6sFtmiTZWhH79yTh1kKyA6de,10991.61,12,,915.97,2,12
EATmTyMSbLuQrhjTF8PNsotvAQ3eT9LQ62Wo473F8Hp6,8459.01,12,,704.92,2,12
ACJri15jxmHwWL1bXjwzunvkDKT8rbBXy5Bm9gh7qaJ4,17397.42,15,,1159.83,2,15
GdJXh9opnH5MGvhkKUKcH62m9oB1pFJDhhX8nGmfYQTK,7915.22,6,,1319.2,2,6
EATYjQx5gP4mf1LvrSGmgVegy4qZxfD4YYunsKpCfAWa,2259.35,4,,564.84,2,4
